Search Query,Bike Name,Price,Section Title,Section Data
Honda bike,Honda Activa 6G,"Rs.2,627",Engine and Transmission,"{'Engine Type': 'Fan Cooled, 4 Stroke, SI Engine', 'Displacement': '109.51 cc', 'Max Torque': '8.90 Nm @ 5500 rpm', 'No. of Cylinders': '1', 'Cooling System': 'Air Cooled', 'Valve Per Cylinder': '2', 'Starting': 'Kick and Self Start', 'Fuel Supply': 'Fuel Injection', 'Clutch': 'Automatic', 'Gear Box': 'CVT', 'Bore': '47 mm', 'Stroke': '63.1 mm', 'Compression Ratio': '10.0:1', 'Emission Type': 'bs6-2.0'}"
Honda bike,Honda Activa 6G,"Rs.2,627",Features,"{'Bluetooth Connectivity': 'Bluetooth', 'Speedometer': 'Analogue', 'Techometer': 'Analogue', 'Tripmeter': 'Analogue', 'Odometer': 'Analogue', 'Shutter Lock': 'Yes', 'Additional Features Of Variant': 'Smart Key, H-Smart, Silent Start with ACG, Engine start Switch, ESP Technology, Seat length - 692 mm, Multi Function Unit', 'Seat Type': 'Single', 'Clock': 'Yes', 'Passenger Footrest': 'Yes', 'Carry hook': 'Yes', 'Underseat storage': 'Yes'}"
Honda bike,Honda Activa 6G,"Rs.2,627",Features and Safety,"{'Braking Type': 'Combi Brake System', 'Shutter Lock': 'Yes', 'Seat Opening Switch': 'Yes', 'Speedometer': 'Analogue', 'External Fuel Filling': 'Yes', 'Tachometer': 'Analogue', 'Odometer': 'Analogue', 'Tripmeter': 'Analogue', 'Pass Switch': 'Yes', 'Clock': 'Yes', 'Additional Features': 'Smart Key, H-Smart, Silent Start with ACG, Engine start Switch, ESP Technology, Seat length - 692 mm, Multi Function Unit', 'Carry Hook': 'Yes', 'Passenger Footrest': 'Yes'}"
Honda bike,Honda Activa 6G,"Rs.2,627",Mileage and Performance,{'Overall Mileage': '50 kmpl'}
Honda bike,Honda Activa 6G,"Rs.2,627",Dimensions and Capacity,"{'Boot Space': 'Yes', 'Width': '697 mm', 'Length': '1833 mm', 'Height': '1156 mm', 'Fuel Capacity': '5.3 L', 'Ground Clearance': '162 mm', 'Wheelbase': '1260 mm', 'Kerb Weight': '105 kg', 'Additional Storage': 'Yes'}"
Honda bike,Honda Activa 6G,"Rs.2,627",Electricals,"{'Headlight': 'LED', 'Tail Light': 'Bulb', 'Turn Signal Lamp': 'Bulb', 'Low Fuel Indicator': 'Yes'}"
Honda bike,Honda Activa 6G,"Rs.2,627",Tyres and Brakes,"{'Front Brake Diameter': '130 mm', 'Rear Brake Diameter': '130 mm', 'Radial Tyre': 'Yes', 'Front Tyre Pressure (Rider)': '22 psi', 'Front Tyre Pressure (Rider & Pillion)': '22 psi', 'Rear Tyre Pressure (Rider)': '29 psi', 'Rear Tyre Pressure (Rider & Pillion)': '36 psi'}"
Honda bike,Honda Activa 6G,"Rs.2,627",Motor & Battery,"{'Peak Power': '7.84 PS @ 8000 rpm', 'Drive Type': 'Belt Drive', 'Transmission': 'Automatic'}"
Honda bike,Honda Activa 6G,"Rs.2,627",Underpinnings,"{'Suspension Front': 'Telescopic', 'Suspension Rear': '3-Step Adjustable Spring Loaded Hydraulic', 'Brakes Front': 'Drum', 'Brakes Rear': 'Drum', 'Tyre Size': 'Front :-90/90-12, Rear :-90/100-10', 'Wheel Size': 'Front :-304.8 mm,Rear :-254 mm', 'Wheels Type': 'Alloy', 'Frame': 'Under Bone', 'Tubeless Tyre': 'Tubeless'}"
Honda bike,Honda SP 125,"Rs.2,938",Engine and Transmission,"{'Engine Type': '4 stroke, SI Engine', 'Displacement': '123.94 cc', 'Max Torque': '10.9 Nm @ 6000 rpm', 'No. of Cylinders': '1', 'Starting': 'Kick and Self Start', 'Fuel Supply': 'Fuel Injection', 'Clutch': 'Multiple Wet Clutch', 'Gear Box': '5 Speed', 'Bore': '50 mm', 'Stroke': '63.1 mm', 'Compression Ratio': '10.0:1', 'Emission Type': 'bs6-2.0'}"
Honda bike,Honda SP 125,"Rs.2,938",Features,"{'Speedometer': 'Digital', 'Odometer': 'Digital', 'Additional Features Of Variant': 'Silent Start with ACG, Gear position Indicator, Eco Indicator.', 'Seat Type': 'Single', 'Body Graphics': 'Yes', 'Clock': 'Yes', 'Passenger Footrest': 'Yes', 'Average Fuel economy Indicator': 'Yes', 'Distance to Empty Indicator': 'Yes'}"
Honda bike,Honda SP 125,"Rs.2,938",Features and Safety,"{'Braking Type': 'Combi Brake System', 'Service Due Indicator': 'Yes', 'Speedometer': 'Digital', 'Odometer': 'Digital', 'Fuel Gauge': 'Digital', 'Pass Switch': 'Yes', 'Clock': 'Yes', 'Additional Features': 'Silent Start with ACG, Gear position Indicator, Eco Indicator.', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes'}"
Honda bike,Honda SP 125,"Rs.2,938",Mileage and Performance,{'Overall Mileage': '60 kmpl'}
Honda bike,Honda SP 125,"Rs.2,938",Chassis and Suspension,"{'Body Type': 'Commuter Bikes', 'Body Graphics': 'Yes'}"
Honda bike,Honda SP 125,"Rs.2,938",Dimensions and Capacity,"{'Width': '785 mm', 'Length': '2020 mm', 'Height': '1103 mm', 'Fuel Capacity': '11.2 L', 'Saddle Height': '790 mm', 'Ground Clearance': '160 mm', 'Wheelbase': '1285 mm', 'Kerb Weight': '116 kg'}"
Honda bike,Honda SP 125,"Rs.2,938",Electricals,"{'Headlight': 'LED', 'Tail Light': 'Bulb', 'Turn Signal Lamp': 'Bulb', 'Low Fuel Indicator': 'Yes', 'Distance to Empty Indicator': 'Yes', 'Average Fuel economy Indicator': 'Yes'}"
Honda bike,Honda SP 125,"Rs.2,938",Tyres and Brakes,"{'Front Brake Diameter': '240 mm', 'Rear Brake Diameter': '130 mm', 'Front Tyre Pressure (Rider)': '25 psi', 'Front Tyre Pressure (Rider & Pillion)': '25 psi', 'Rear Tyre Pressure (Rider)': '33 psi', 'Rear Tyre Pressure (Rider & Pillion)': '41 psi'}"
Honda bike,Honda SP 125,"Rs.2,938",Motor & Battery,"{'Peak Power': '10.87 PS @ 7500 rpm', 'Drive Type': 'Chain Drive', 'Transmission': 'Manual'}"
