Name,Price,Basic Specs
Ather 450X,Rs.1.26 - 1.29 Lakh*,6.4 kW5.45 Hr
Ather 450S,"Rs.97,547*",5.4 kW8.36 Hr
Ather 450 Apex,Rs.1.89 Lakh*,7 kW5.45 Hr
Revolt RV400,Rs.1.27 - 1.44 Lakh*,3 kW4.5 Hr
Revolt RV400 BRZ,Rs.1.32 Lakh*,3 kW4.5 Hr
Husqvarna Vitpilen 250,Rs.2.20 Lakh*,31 kmpl249.07 cc31 PS
Husqvarna Svartpilen 250,Rs.2.93 Lakh*,32.44 kmpl248.76 cc30 PS
Husqvarna Svartpilen 401,Rs.2.92 Lakh*,29 kmpl373 cc46 PS
Kawasaki Ninja ZX-10R,Rs.16.63 Lakh*,12 kmpl998 cc203 PS
Kawasaki Ninja H2,Rs.79.90 Lakh*,15 kmpl998 cc310 PS
Kawasaki Z900,Rs.9.29 Lakh*,17 kmpl948 cc125 PS
Kawasaki Ninja 300,Rs.3.43 Lakh*,30 kmpl296 cc39 PS
Kawasaki Ninja 400,Rs.5.24 Lakh*,24.18 kmpl399 cc45 PS
Kawasaki Ninja 500,Rs.5.24 Lakh*,451 cc45.41 PS42.6 Nm @ 6000 rpm
Kawasaki Ninja ZX-6R,Rs.11.09 Lakh*,23.6 kmpl636 cc124 PS
Kawasaki Ninja ZX4R,Rs.8.49 Lakh*,24.18 kmpl399 cc75 PS
Kawasaki Ninja 1000SX,Rs.12.20 Lakh*,17 kmpl1043 cc142 PS
Kawasaki W175,Rs.1.22 - 1.35 Lakh*,45 kmpl177 cc13 PS
Kawasaki Ninja 650,Rs.7.16 Lakh*,21 kmpl649 cc68 PS
Kawasaki Z650,Rs.6.65 Lakh*,19.02 kmpl649 cc68 PS
Kawasaki Eliminator,Rs.5.62 Lakh*,30 kmpl451 cc45 PS
Kawasaki Z H2,Rs.23.48 - 27.76 Lakh*,12 kmpl998 cc200 PS
Kawasaki Versys 650,Rs.7.77 Lakh*,20 kmpl649 cc66 PS
Kawasaki Vulcan S,Rs.7.10 Lakh*,20.58 kmpl649 cc61 PS
Kawasaki KLX 140,Rs.4.11 Lakh*,60 kmpl144 cc
Kawasaki KLX 110,Rs.3.12 Lakh*,112 cc7.3 PS8.0 Nm @ 4000 rpm
Kawasaki Z650RS,Rs.6.99 Lakh*,23 kmpl649 cc68 PS
Kawasaki Z900RS,Rs.16.80 Lakh*,15 kmpl948 cc111 PS
Kawasaki Versys 1000,Rs.12.31 Lakh*,10 kmpl1043 cc120 PS
Kawasaki KX112,Rs.4.88 Lakh*,24.18 kmpl112 cc
Kawasaki KX 250,Rs.7.99 Lakh*,30 kmpl249 cc
Kawasaki KX 450,Rs.8.59 Lakh*,25 kmpl449 cc
Kawasaki KLX 450R,Rs.8.99 Lakh*,23 kmpl449 cc
Kawasaki KX 100,Rs.4.88 Lakh*,55 kmpl99 cc
Kawasaki W800 Street,Rs.7.33 Lakh*,14 kmpl773 cc52 PS
Kawasaki KLX230RS,Rs.5.21 Lakh*,233 cc20 PS20.6 Nm @ 6000 rpm
Kawasaki KX65,Rs.3.12 Lakh*,30 kmpl64 cc
BMW S 1000 RR,Rs.20.50 - 24.95 Lakh*,15.62 Kmpl999 cc212.91 PS
BMW G 310 RR,Rs.3.05 Lakh*,30.3 kmpl313 cc33.99 PS
BMW G 310 R,Rs.2.90 Lakh*,32.46 kmpl313 cc34 PS
BMW G 310 GS,Rs.3.30 Lakh*,29.26 kmpl313 cc34 PS
BMW R 1250 GS,Rs.20.55 Lakh*,15 kmpl1254 cc136 PS
BMW M 1000 RR,Rs.49 - 55 Lakh*,15.4 kmpl999 cc212.1 PS
BMW R 1250 GS Adventure,Rs.22.50 Lakh*,14 kmpl1254 cc136 PS
BMW C 400 GT,Rs.11.25 Lakh*,28.6 kmpl350 cc34 PS
BMW K 1600 GTL,Rs.33 Lakh*,16.9 kmpl1649 cc160.4 PS
BMW F 850 GS,Rs.12.95 Lakh*,24.4 kmpl853 cc95.17 PS
BMW F 900 R,Rs.10.80 - 10.95 Lakh*,23.8 kmpl895 cc104.6 PS
BMW F 850 GS Adventure,Rs.13.75 Lakh*,24 kmpl853 cc95.17 PS
BMW F 900 XR,Rs.12.55 Lakh*,23.8 kmpl895 cc104.6 PS
BMW R NineT Scrambler,Rs.17.25 Lakh*,19.6 kmpl1170 cc108.77 PS
BMW K 1600 Grand America,Rs.33 Lakh*,16.9 kmpl1649 cc160.4 PS
BMW R 18,Rs.19.90 - 25.90 Lakh*,17.8 kmpl1802 cc91.09 PS
BMW R 1250 RT,Rs.24.95 Lakh*,21 kmpl1254 cc135.9 PS
BMW S 1000 XR,Rs.22.10 Lakh*,20 kmpl999 cc165 PS
BMW S 1000 R,Rs.19 - 23.30 Lakh*,16.1 kmpl999 cc165 PS
BMW R 18 Transcontinental,Rs.31.50 Lakh*,17.24 kmpl1802 cc91.09 PS
BMW R nineT,Rs.19 - 24 Lakh*,19.6 kmpl1170 cc108.77 PS
BMW R 1250 R,Rs.16.25 Lakh*,21 kmpl1254 cc135.96 PS
BMW K 1600 Bagger,Rs.29.90 Lakh*,16.94 Kmpl1649 cc160.4 PS
Ducati Panigale V4,Rs.27.41 - 69.99 Lakh*,13.1 kmpl1103 cc218.48 PS
Ducati Streetfighter V4,Rs.22.15 - 25.69 Lakh*,13.2 kmpl1103 cc208 PS
Ducati Scrambler 800,Rs.10.39 - 12 Lakh*,19 kmpl803 cc74.01 PS
Ducati Monster,Rs.12.95 - 15.95 Lakh*,18.9 kmpl937 cc112.54 PS
Ducati Diavel V4,Rs.25.91 Lakh*,18.2 kmpl1158 cc170.33 PS
Ducati Panigale V2,Rs.20.27 - 23.60 Lakh*,16.6 kmpl955 cc157.15 PS
Ducati SuperSport 950,Rs.15.75 - 18.69 Lakh*,17 kmpl937 cc110.1 PS
Ducati Streetfighter V2,Rs.18.10 Lakh*,16.7 kmpl955 cc155.12 PS
Ducati Diavel 1260,Rs.21.49 - 24.99 Lakh*,18.5 kmpl1262 cc164.2 PS
Ducati Scrambler 1100,Rs.11.95 - 15.99 Lakh*,20 kmpl1079 cc85.65 PS
Ducati Multistrada V2,Rs.16.05 - 18.32 Lakh*,16.9 kmpl937 cc114.5 PS
Ducati Multistrada V4,Rs.21.48 - 31.48 Lakh*,15.4 kmpl1158 cc
Ducati Multistrada 950,Rs.15.49 Lakh*,22.86 kmpl937 cc114.5 PS
Ducati Hypermotard 950,Rs.15.60 - 17.99 Lakh*,19.6 kmpl937 cc114.2 PS
Ducati XDiavel,Rs.21.20 - 24.49 Lakh*,18.5 kmpl1262 cc152.2 PS
Ducati Scrambler Desert Sled,Rs.10.99 - 12.59 Lakh*,19.6 kmpl803 cc72.8 PS
Ducati DesertX,Rs.17.91 Lakh*,17.8 kmpl937 cc111.52 PS
Triumph Speed 400,Rs.2.33 Lakh*,30 kmpl398.15 cc40 PS
Triumph Rocket 3,Rs.19.90 - 21.40 Lakh*,14.28 Kmpl2458 cc167 PS
Triumph Scrambler 400 X,Rs.2.63 Lakh*,28.3 kmpl398.15 cc40 PS
Triumph Street Triple,Rs.10.17 - 12.07 Lakh*,19.2 kmpl765 cc130 PS
Triumph Trident 660,Rs.8.12 Lakh*,17.47 kmpl660 cc81 PS
Triumph Bonneville Bobber,Rs.12.05 - 12.85 Lakh*,22.22 Kmpl1200 cc78 PS
Triumph Tiger 1200,Rs.19.19 - 21.69 Lakh*,19.60 Kmpl1160 cc150 PS
Triumph Speed Twin 900,Rs.8.49 - 8.79 Lakh*,24.39 Kmpl900 cc65 PS
