Name,Price,Basic Specs
BMW S 1000 RR,Rs.20.50 - 24.95 Lakh*,15.62 Kmpl999 cc212.91 PS
BMW G 310 RR,Rs.3.05 Lakh*,30.3 kmpl313 cc33.99 PS
BMW G 310 R,Rs.2.90 Lakh*,32.46 kmpl313 cc34 PS
BMW G 310 GS,Rs.3.30 Lakh*,29.26 kmpl313 cc34 PS
BMW R 1250 GS,Rs.20.55 Lakh*,15 kmpl1254 cc136 PS
BMW M 1000 RR,Rs.49 - 55 Lakh*,15.4 kmpl999 cc212.1 PS
BMW R 1250 GS Adventure,Rs.22.50 Lakh*,14 kmpl1254 cc136 PS
BMW C 400 GT,Rs.11.25 Lakh*,28.6 kmpl350 cc34 PS
BMW K 1600 GTL,Rs.33 Lakh*,16.9 kmpl1649 cc160.4 PS
BMW F 850 GS,Rs.12.95 Lakh*,24.4 kmpl853 cc95.17 PS
BMW F 900 R,Rs.10.80 - 10.95 Lakh*,23.8 kmpl895 cc104.6 PS
BMW F 850 GS Adventure,Rs.13.75 Lakh*,24 kmpl853 cc95.17 PS
BMW F 900 XR,Rs.12.55 Lakh*,23.8 kmpl895 cc104.6 PS
BMW R NineT Scrambler,Rs.17.25 Lakh*,19.6 kmpl1170 cc108.77 PS
BMW K 1600 Grand America,Rs.33 Lakh*,16.9 kmpl1649 cc160.4 PS
BMW R 18,Rs.19.90 - 25.90 Lakh*,17.8 kmpl1802 cc91.09 PS
BMW R 1250 RT,Rs.24.95 Lakh*,21 kmpl1254 cc135.9 PS
BMW S 1000 XR,Rs.22.10 Lakh*,20 kmpl999 cc165 PS
BMW S 1000 R,Rs.19 - 23.30 Lakh*,16.1 kmpl999 cc165 PS
BMW R 18 Transcontinental,Rs.31.50 Lakh*,17.24 kmpl1802 cc91.09 PS
BMW R nineT,Rs.19 - 24 Lakh*,19.6 kmpl1170 cc108.77 PS
BMW R 1250 R,Rs.16.25 Lakh*,21 kmpl1254 cc135.96 PS
BMW K 1600 Bagger,Rs.29.90 Lakh*,16.94 Kmpl1649 cc160.4 PS
