Name,Price,Basic Specs
Royal Enfield Classic 350,Rs.1.93 - 2.25 Lakh*,41.55 kmpl349.34 cc20.21 PS
Royal Enfield Hunter 350,Rs.1.50 - 1.75 Lakh*,36.2 kmpl349.34 cc20.4 PS
Royal Enfield Bullet 350,Rs.1.74 - 2.16 Lakh*,37 kmpl349 cc20.4 PS
Royal Enfield Continental GT 650,Rs.3.19 - 3.45 Lakh*,27 kmpl647.95 cc47.4 PS
Royal Enfield Himalayan 450,Rs.2.85 - 2.98 Lakh*,30 kmpl452 cc40.02 PS
Royal Enfield Meteor 350,Rs.2.03 - 2.30 Lakh*,41.88 kmpl349 cc20.4 PS
Royal Enfield Super Meteor 650,Rs.3.64 - 3.94 Lakh*,25 kmpl648 cc47 PS
Royal Enfield Interceptor 650,Rs.3.03 - 3.31 Lakh*,25 kmpl647.95 cc47.4 PS
Royal Enfield Shotgun 650,Rs.3.59 - 3.73 Lakh*,22 kmpl648 cc47.65 PS
Royal Enfield Scram 411,Rs.2.06 - 2.12 Lakh*,38.23 kmpl411 cc24.31 PS
