Name,Price,Basic Specs
Yamaha MT 15,Rs.1.68 - 1.73 Lakh*,56.87 kmpl155 cc18.4 PS
Yamaha R15 V4,Rs.1.82 - 1.98 Lakh*,55.20 kmpl155 cc18.4 PS
Yamaha R15S,Rs.1.65 Lakh*,40 kmpl155 cc18.6 PS
Yamaha FZS-FI V3,Rs.1.22 - 1.23 Lakh*,49.31 kmpl149 cc12.4 PS
Yamaha RayZR 125 Fi Hybrid,"Rs.84,730 - 96,130*",71.33 kmpl125 cc8.2 PS
Yamaha FZ-FI V3,Rs.1.17 Lakh*,49.3 kmpl149 cc12.4 PS
Yamaha Aerox 155,Rs.1.47 - 1.49 Lakh*,48.62 kmpl155 cc15 PS
Yamaha Fascino 125 Fi Hybrid,"Rs.80,100 - 92,830*",68.75 kmpl125 cc8.2 PS
Yamaha FZ X,Rs.1.36 - 1.37 Lakh*,45 kmpl149 cc12.4 PS
Yamaha FZS-FI V4,Rs.1.29 - 1.30 Lakh*,46 kmpl149 cc12.4 PS
Yamaha MT-03,Rs.4.60 Lakh*,26.31 kmpl321 cc42 PS
Yamaha R3,Rs.4.65 Lakh*,25 kmpl321 cc42 PS
Yamaha FZ 25,Rs.1.51 Lakh*,50.33 kmpl249 cc20.8 PS
Yamaha FZS 25,Rs.1.54 Lakh*,40 kmpl249 cc20.8 PS
