web-scraper-order,web-scraper-start-url,Links,Links-href,Name,Engine,Mileage,Transmission,Weight,Fuel Tank Capacity,Seat Height,Price
1706457761-1,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Bajaj Pulsar N250,https://www.bikewale.com/bajaj-bikes/pulsar-n250/,Bajaj Pulsar N250,249 cc,44 kmpl,5 Speed Manual,162 kg,14 litres,795 mm,"₹ 1,50,460"
1706457763-2,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Honda Dio 125,https://www.bikewale.com/honda-bikes/dio-125/,Honda Dio 125,123.92 cc,,,104 kg,5.3 litres,,"₹ 86,147"
1706457765-3,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Hero Super Splendor,https://www.bikewale.com/hero-bikes/super-splendor/,Hero Super Splendor,124.7 cc,,5 Speed Manual,122 kg,12 litres,799 mm,"₹ 80,756"
1706457768-4,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Hero Karizma XMR,https://www.bikewale.com/hero-bikes/karizma-xmr/,Hero Karizma XMR,210 cc,,6 Speed Manual,163.5 kg,11 litres,810 mm,"₹ 1,79,900"
1706457770-5,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Yamaha Ray ZR 125,https://www.bikewale.com/yamaha-bikes/ray-zr-125/,Yamaha Ray ZR 125,125 cc,49 kmpl,,99 kg,5.2 litres,785 mm,"₹ 86,789"
1706457773-6,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Bajaj Dominar 250,https://www.bikewale.com/bajaj-bikes/dominar-250/,Bajaj Dominar 250,248.8 cc,,6 Speed Manual,180 kg,13 litres,800 mm,"₹ 1,78,293"
1706457775-7,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Yamaha R15S,https://www.bikewale.com/yamaha-bikes/r15-s/,Yamaha R15S,155 cc,,6 Speed Manual,142 kg,11 litres,815 mm,"₹ 1,66,056"
1706457777-8,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Hero Xpulse 200 4V,https://www.bikewale.com/hero-bikes/xpulse-200-4v/,Hero Xpulse 200 4V,199.6 cc,32.9 kmpl,5 Speed Manual,159 kg,13 litres,825 mm,"₹ 1,45,896"
1706457780-9,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,OLA S1 X,https://www.bikewale.com/ola-bikes/s1-x/,OLA S1 X,,,,108 kg,,805 mm,"₹ 89,828"
1706457782-10,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Honda Shine 100,https://www.bikewale.com/honda-bikes/shine-100/,Honda Shine 100,98.98 cc,,4 Speed Manual,99 kg,9 litres,786 mm,"₹ 65,011"
1706457784-11,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,TVS Apache RTR 200 4V,https://www.bikewale.com/tvs-bikes/apache-200/,TVS Apache RTR 200 4V,197.75 cc,41.9 kmpl,5 Speed Manual,152 kg,12 litres,800 mm,"₹ 1,42,929"
1706457787-12,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Yamaha FZ X,https://www.bikewale.com/yamaha-bikes/fz-x/,Yamaha FZ X,149 cc,,5 Speed Manual,139 kg,10 litres,810 mm,"₹ 1,37,087"
1706457789-13,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Yamaha FZ S FI,https://www.bikewale.com/yamaha-bikes/fz-s/,Yamaha FZ S FI,149 cc,,5 Speed Manual,135 kg,13 litres,790 mm,"₹ 1,22,278"
1706457791-14,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Bajaj Chetak,https://www.bikewale.com/bajaj-bikes/chetak/,Bajaj Chetak,,,,,,,"₹ 1,17,285"
1706457794-15,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Ather 450X,https://www.bikewale.com/ather-bikes/450x/,Ather 450X,,,,108 kg,,780 mm,"₹ 1,37,769"
1706457796-16,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Hero Glamour,https://www.bikewale.com/hero-bikes/glamour/,Hero Glamour,124.7 cc,,5 Speed Manual,122 kg,10 litres,793 mm,"₹ 81,341"
1706457799-17,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,TVS Sport,https://www.bikewale.com/tvs-bikes/sport/,TVS Sport,109.7 cc,,4 Speed Manual,110 kg,10 litres,790 mm,"₹ 61,602"
1706457801-18,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,OLA S1 Pro,https://www.bikewale.com/ola-bikes/s1-pro/,OLA S1 Pro,,,,116 kg,,805 mm,"₹ 1,47,328"
1706457803-19,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,KTM 125 Duke,https://www.bikewale.com/ktm-bikes/duke-125/,KTM 125 Duke,124.7 cc,,6 Speed Manual,159 kg,13.4 litres,822 mm,"₹ 1,78,985"
1706457806-20,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Bajaj Pulsar 220 F,https://www.bikewale.com/bajaj-bikes/pulsar-220/,Bajaj Pulsar 220 F,220 cc,,5 Speed Manual,160 kg,15 litres,795 mm,"₹ 1,38,161"
1706457808-21,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Suzuki Burgman Street 125,https://www.bikewale.com/suzuki-bikes/burgman-street-125/,Suzuki Burgman Street 125,124 cc,58.5 kmpl,,110 kg,5.5 litres,780 mm,"₹ 96,518"
1706457810-22,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Yamaha FZS Fi V4,https://www.bikewale.com/yamaha-bikes/fzs-fi-v4/,Yamaha FZS Fi V4,149 cc,60 kmpl,5 Speed Manual,136 kg,13 litres,790 mm,"₹ 1,29,780"
1706457813-23,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,TVS Jupiter 125,https://www.bikewale.com/tvs-bikes/jupiter-125/,TVS Jupiter 125,124.8 cc,50 kmpl,,108 kg,5.1 litres,765 mm,"₹ 85,574"
1706457815-24,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Suzuki Gixxer SF,https://www.bikewale.com/suzuki-bikes/gixxer-sf/,Suzuki Gixxer SF,155 cc,,5 Speed Manual,148 kg,12 litres,795 mm,"₹ 1,36,050"
1706457817-25,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Bajaj Platina 100,https://www.bikewale.com/bajaj-bikes/platina-100/,Bajaj Platina 100,102 cc,,4 Speed Manual,117 kg,11 litres,807 mm,"₹ 61,649"
1706457820-26,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Honda Hornet 2.0,https://www.bikewale.com/honda-bikes/hornet/,Honda Hornet 2.0,184.4 cc,42.3 kmpl,5 Speed Manual,142 kg,12 litres,790 mm,"₹ 1,39,000"
1706457822-27,https://www.bikewale.com/new-bike-search/best-bikes-under-2-lakh/?pageNumber=2&pageSize=30&budget=0%2C200000,Hero Splendor Plus,https://www.bikewale.com/hero-bikes/splendor-plus/,Hero Splendor Plus,97.2 cc,,4 Speed Manual,112 kg,9.8 litres,785 mm,"₹ 73,440"
