Name,Price,Basic Specs
Bajaj Pulsar NS200,Rs.1.57 Lakh*,40.36 kmpl199.5 cc24.5 PS
Bajaj Pulsar NS 125,Rs.1.05 Lakh*,64.75 kmpl124.45 cc11.99 PS
Bajaj Pulsar 125,"Rs.80,416 - 94,138*",51.46 kmpl124.4 cc11.8 PS
Bajaj Pulsar 150,Rs.1.10 - 1.15 Lakh*,47.5 kmpl149.5 cc14 PS
Bajaj Pulsar N160,Rs.1.31 Lakh*,59.11 kmpl164.82 cc16 PS
Bajaj Pulsar RS200,Rs.1.72 Lakh*,35 kmpl199.5 cc24.5 PS
Bajaj Pulsar NS160,Rs.1.46 Lakh*,52 kmpl160.3 cc17.2 PS
Bajaj Pulsar 220 F,Rs.1.38 Lakh*,40 kmpl220 cc20.4 PS
Bajaj Dominar 400,Rs.2.30 Lakh*,27 kmpl373.3 cc40 PS
Bajaj Chetak,Rs.1.15 - 1.44 Lakh*,4.2 kW4.3 Hr
Bajaj Pulsar N150,Rs.1.18 Lakh*,48 kmpl149.68 cc14.5 PS
Bajaj Platina 110,"Rs.70,400 - 79,821*",70 kmpl115.45 cc8.6 PS
Bajaj Platina 100,"Rs.67,808*",70 kmpl102 cc7.9 PS
Bajaj Dominar 250,Rs.1.84 Lakh*,35.03 kmpl248.77 cc27 PS
Bajaj Pulsar N250,Rs.1.50 Lakh*,35 kmpl249.07 cc24.5 PS
Bajaj Avenger Street 160,Rs.1.17 Lakh*,47.2 kmpl160 cc15 PS
Bajaj CT 110X,"Rs.69,216*",70 kmpl115.45 cc8.6 PS
Bajaj Pulsar F250,Rs.1.50 Lakh*,35 kmpl249.07 cc24.5 PS
Bajaj Avenger Cruise 220,Rs.1.43 Lakh*,40 kmpl220 cc19.03 PS
Bajaj CT 125X,"Rs.74,016 - 77,216*",59.6 kmpl124.4 cc10.9 PS
Bajaj Pulsar P150,Rs.1.17 - 1.20 Lakh*,49.7 kmpl149.68 cc14.5 PS
Bajaj Avenger 220 Street,Rs.1.43 Lakh*,40 kmpl220 cc19.03 PS
