Name,Price,Basic Specs
Ducati Panigale V4,Rs.27.41 - 69.99 Lakh*,13.1 kmpl1103 cc218.48 PS
Ducati Streetfighter V4,Rs.22.15 - 25.69 Lakh*,13.2 kmpl1103 cc208 PS
Ducati Scrambler 800,Rs.10.39 - 12 Lakh*,19 kmpl803 cc74.01 PS
Ducati Monster,Rs.12.95 - 15.95 Lakh*,18.9 kmpl937 cc112.54 PS
Ducati Diavel V4,Rs.25.91 Lakh*,18.2 kmpl1158 cc170.33 PS
Ducati Panigale V2,Rs.20.27 - 23.60 Lakh*,16.6 kmpl955 cc157.15 PS
Ducati SuperSport 950,Rs.15.75 - 18.69 Lakh*,17 kmpl937 cc110.1 PS
Ducati Streetfighter V2,Rs.18.10 Lakh*,16.7 kmpl955 cc155.12 PS
Ducati Diavel 1260,Rs.21.49 - 24.99 Lakh*,18.5 kmpl1262 cc164.2 PS
Ducati Scrambler 1100,Rs.11.95 - 15.99 Lakh*,20 kmpl1079 cc85.65 PS
Ducati Multistrada V2,Rs.16.05 - 18.32 Lakh*,16.9 kmpl937 cc114.5 PS
Ducati Multistrada V4,Rs.21.48 - 31.48 Lakh*,15.4 kmpl1158 cc
Ducati Multistrada 950,Rs.15.49 Lakh*,22.86 kmpl937 cc114.5 PS
Ducati Hypermotard 950,Rs.15.60 - 17.99 Lakh*,19.6 kmpl937 cc114.2 PS
Ducati XDiavel,Rs.21.20 - 24.49 Lakh*,18.5 kmpl1262 cc152.2 PS
Ducati Scrambler Desert Sled,Rs.10.99 - 12.59 Lakh*,19.6 kmpl803 cc72.8 PS
Ducati DesertX,Rs.17.91 Lakh*,17.8 kmpl937 cc111.52 PS
