Name,Price,Basic Specs
Hero Splendor Plus,"Rs.75,141 - 77,986*",80.6 kmpl97.2 cc8.02 PS
Hero Xtreme 125R,"Rs.95,000 - 99,500*",66 kmpl124.7 cc11.55 PS
Hero HF Deluxe,"Rs.59,998 - 68,768*",70 kmpl97.2 cc8.02 PS
Hero Splendor Plus XTEC,"Rs.79,911*",83.2 kmpl97.2 cc8.02 PS
Hero Super Splendor,"Rs.80,848 - 88,328*",55 kmpl124.7 cc10.8 PS
Hero Mavrick 440,Rs.1.99 - 2.24 Lakh*,440 cc27.36 PS36 Nm @ 4000 rpm
Hero XPulse 200 4V,Rs.1.46 - 1.53 Lakh*,51.59 kmpl199.6 cc19.17 PS at 8500 rpm
Hero Glamour,"Rs.82,348 - 86,348*",55 kmpl125 cc10.53 PS
Hero Xtreme 160R,Rs.1.22 - 1.33 Lakh*,55.47 kmpl163 cc15.2 PS
Hero Passion XTEC,"Rs.81,038 - 85,438*",56 kmpl113.2 cc9.15 PS
Hero Pleasure Plus,"Rs.70,838 - 82,738*",50 kmpl
Hero Karizma XMR,Rs.1.80 Lakh*,41.55 kmpl210 cc25.5 PS
Hero Passion Plus,"Rs.77,951*",70 kmpl97.2 cc8.02 PS
Hero Super Splendor XTEC,"Rs.85,178 - 89,078*",68 kmpl124.7 cc10.84 PS
Hero Glamour XTEC,"Rs.87,748 - 92,348*",60 kmpl124.7 cc10.84 PS
Hero Destini 125,"Rs.80,048 - 86,538*",50 kmpl124.6 cc9.10 PS
Hero Xoom 110,"Rs.71,484 - 79,967*",45 kmpl110.9 cc8.15 PS
Hero Xtreme 160R 4V,Rs.1.27 - 1.37 Lakh*,48.28 kmpl163.2 cc16.9 PS
Hero HF 100,"Rs.59,018*",70 kmpl97.2 cc8.02 PS
Hero Xtreme 200S 4V,Rs.1.41 Lakh*,40 kmpl199.6 cc19.1 PS
Hero XPulse 200T 4V,Rs.1.40 Lakh*,40 kmpl199.6 cc19.1 PS
Hero Destini Prime,"Rs.71,499*",56 kmpl124.6 cc9.09 PS
