Name,Price,Basic Specs
Honda Activa 6G,"Rs.76,234 - 82,734*",50 kmpl109.51 cc7.84 PS
Honda SP 125,"Rs.86,017 - 90,567*",60 kmpl123.94 cc10.87 PS
Honda Shine,"Rs.79,800 - 83,800*",55 kmpl123.94 cc10.74 PS
Honda Dio,"Rs.70,211 - 77,712*",50 kmpl109.51 cc7.85 PS
Honda Activa 125,"Rs.79,806 - 88,979*",60 kmpl124 cc8.30 PS
Honda Unicorn,Rs.1.10 Lakh*,60 kmpl162.7 cc12.91 PS
Honda Hness CB350,Rs.2.10 - 2.16 Lakh*,45.8 kmpl348.36 cc21.07 PS
Honda Hornet 2.0,Rs.1.39 - 1.40 Lakh*,57.35 kmpl184.4 cc17.26 PS
Honda SP160,Rs.1.18 - 1.22 Lakh*,65 kmpl162.71 cc13.46 PS
Honda Shine 100,"Rs.64,900*",55 kmpl98.98 cc7.38 ps PS
Honda Dio 125,"Rs.83,400 - 92,300*",48 kmpl123.92 cc8.28 PS
Honda CB200X,Rs.1.47 Lakh*,40 kmpl184.4 cc17.26 PS
Honda CB300F,Rs.1.70 Lakh*,30 kmpl293.52 cc24.4 PS
Honda CB350,Rs.2 - 2.18 Lakh*,42.17 kmpl348.36 cc21.07 PS
Honda Livo,"Rs.78,500 - 82,500*",60 kmpl109.51 cc8.79 PS
Honda CB300R,Rs.2.40 Lakh*,30 kmpl286.01 cc31.13 PS
Honda CB350RS,Rs.2.15 - 2.19 Lakh*,35 kmpl348.36 cc21.07 PS
Honda CD 110 Dream,"Rs.73,400*",65 kmpl109.51 cc8.79 PS
Honda Gold Wing,Rs.39.16 Lakh*,14 kmpl1833 cc126.4 PS
Honda NX500,Rs.5.90 Lakh*,27.78 kmpl471 cc47.5 PS
Honda CRF1100L Africa Twin,Rs.15.97 - 17.51 Lakh*,20 kmpl1082.96 cc99.2 PS
Honda XL750 Transalp,Rs.11 Lakh*,23 kmpl755 cc91.7 PS
