Name,Price,Basic Specs
KTM Duke 390,Rs.3.11 Lakh*,28.9 kmpl398.63 cc46 PS
KTM Duke 200,Rs.1.97 Lakh*,33 kmpl200 cc25 PS
KTM 125 Duke,Rs.1.79 Lakh*,46.92 kmpl124.7 cc14.5 PS
KTM 250 Duke,Rs.2.40 Lakh*,30.08 kmpl249.07 cc30 PS
KTM RC 200,Rs.2.18 - 2.18 Lakh*,35 kmpl199.5 cc25 PS
KTM RC 390,Rs.3.18 - 3.19 Lakh*,25.89 kmpl373.27 cc43.5 PS
KTM RC 125,Rs.1.90 Lakh*,41 kmpl124.7 cc14.5 PS
KTM 390 Adventure,Rs.3.39 - 3.61 Lakh*,30 kmpl373.27 cc
KTM 250 Adventure,Rs.2.47 Lakh*,38.12 kmpl248.76 cc30 PS
KTM 390 Adventure X,Rs.2.81 Lakh*,30 kmpl373 cc43.5 PS
