Name,Price,Basic Specs
Kawasaki Ninja ZX-10R,Rs.16.63 Lakh*,12 kmpl998 cc203 PS
Kawasaki Ninja H2,Rs.79.90 Lakh*,15 kmpl998 cc310 PS
Kawasaki Z900,Rs.9.29 Lakh*,17 kmpl948 cc125 PS
Kawasaki Ninja 300,Rs.3.43 Lakh*,30 kmpl296 cc39 PS
Kawasaki Ninja 400,Rs.5.24 Lakh*,24.18 kmpl399 cc45 PS
Kawasaki Ninja 500,Rs.5.24 Lakh*,451 cc45.41 PS42.6 Nm @ 6000 rpm
Kawasaki Ninja ZX-6R,Rs.11.09 Lakh*,23.6 kmpl636 cc124 PS
Kawasaki Ninja ZX4R,Rs.8.49 Lakh*,24.18 kmpl399 cc75 PS
Kawasaki Ninja 1000SX,Rs.12.20 Lakh*,17 kmpl1043 cc142 PS
Kawasaki W175,Rs.1.22 - 1.35 Lakh*,45 kmpl177 cc13 PS
Kawasaki Ninja 650,Rs.7.16 Lakh*,21 kmpl649 cc68 PS
Kawasaki Z650,Rs.6.65 Lakh*,19.02 kmpl649 cc68 PS
Kawasaki Eliminator,Rs.5.62 Lakh*,30 kmpl451 cc45 PS
Kawasaki Z H2,Rs.23.48 - 27.76 Lakh*,12 kmpl998 cc200 PS
Kawasaki Versys 650,Rs.7.77 Lakh*,20 kmpl649 cc66 PS
Kawasaki Vulcan S,Rs.7.10 Lakh*,20.58 kmpl649 cc61 PS
Kawasaki KLX 140,Rs.4.11 Lakh*,60 kmpl144 cc
Kawasaki KLX 110,Rs.3.12 Lakh*,112 cc7.3 PS8.0 Nm @ 4000 rpm
Kawasaki Z650RS,Rs.6.99 Lakh*,23 kmpl649 cc68 PS
Kawasaki Z900RS,Rs.16.80 Lakh*,15 kmpl948 cc111 PS
Kawasaki Versys 1000,Rs.12.31 Lakh*,10 kmpl1043 cc120 PS
Kawasaki KX112,Rs.4.88 Lakh*,24.18 kmpl112 cc
Kawasaki KX 250,Rs.7.99 Lakh*,30 kmpl249 cc
Kawasaki KX 450,Rs.8.59 Lakh*,25 kmpl449 cc
Kawasaki KLX 450R,Rs.8.99 Lakh*,23 kmpl449 cc
Kawasaki KX 100,Rs.4.88 Lakh*,55 kmpl99 cc
Kawasaki W800 Street,Rs.7.33 Lakh*,14 kmpl773 cc52 PS
Kawasaki KLX230RS,Rs.5.21 Lakh*,233 cc20 PS20.6 Nm @ 6000 rpm
Kawasaki KX65,Rs.3.12 Lakh*,30 kmpl64 cc
