Name,Price,Basic Specs
Suzuki Access 125,"Rs.79,900 - 90,500*",45 kmpl124 cc8.7 PS
Suzuki Hayabusa,Rs.16.90 Lakh*,17 kmpl1340 cc190 PS
Suzuki Burgman Street,"Rs.94,000 - 1.14 Lakh*",48 kmpl124 cc8.7 PS
Suzuki Gixxer SF,Rs.1.37 - 1.46 Lakh*,45 kmpl155 cc13.6 PS
Suzuki Gixxer,Rs.1.35 - 1.46 Lakh*,45 kmpl155 cc13.6 PS
Suzuki V-Strom SX,Rs.2.12 Lakh*,32 kmpl249 cc26.5 PS
Suzuki Gixxer SF 250,Rs.1.92 - 2.06 Lakh*,38 kmpl249 cc26.5 PS
Suzuki Avenis,"Rs.92,000 - 92,800*",55 kmpl124.3 cc8.7 PS
Suzuki Gixxer 250,Rs.1.81 - 1.98 Lakh*,38 kmpl249 cc26.5 PS
Suzuki Katana,Rs.13.61 Lakh*,23 kmpl999 cc
