Search Query,Specs Link
Hero bike,https://www.bikedekho.com/hero/splendor/specifications
Hero bike,https://www.bikedekho.com/hero/xtreme-125r/specifications
Hero bike,https://www.bikedekho.com/hero/hf-deluxe/specifications
Hero bike,https://www.bikedekho.com/hero/splendor-plus-xtec/specifications
Hero bike,https://www.bikedekho.com/hero/xpulse-200/specifications
Hero bike,https://www.bikedekho.com/hero/xtreme-160r/specifications
Hero bike,https://www.bikedekho.com/hero/glamour-2017/specifications
Hero bike,https://www.bikedekho.com/hero/passion-pro-110/specifications
Hero bike,https://www.bikedekho.com/hero/mavrick-440/specifications
Hero bike,https://www.bikedekho.com/hero/pleasure-2019/specifications
Hero bike,https://www.bikedekho.com/hero/super-splendor-xtec/specifications
Hero bike,https://www.bikedekho.com/hero/karizma-xmr-210/specifications
Hero bike,https://www.bikedekho.com/hero/glamour-xtec/specifications
Hero bike,https://www.bikedekho.com/hero/hero-passion-plus/specifications
Hero bike,https://www.bikedekho.com/hero/xtreme-160r-4v/specifications
Hero bike,https://www.bikedekho.com/hero/destini-125/specifications
Hero bike,https://www.bikedekho.com/hero/xoom-110/specifications
Hero bike,https://www.bikedekho.com/hero/hf-100/specifications
Hero bike,https://www.bikedekho.com/hero/xtreme-200s/specifications
Hero bike,https://www.bikedekho.com/hero/xpulse-200t/specifications
Aprilia Bikes,https://www.bikedekho.com/aprilia/rs440/specifications
Aprilia Bikes,https://www.bikedekho.com/aprilia/sr-160-bs6/specifications
Aprilia Bikes,https://www.bikedekho.com/aprilia/sr-125/specifications
Aprilia Bikes,https://www.bikedekho.com/aprilia/rs-660/specifications
Aprilia Bikes,https://www.bikedekho.com/aprilia/sxr160/specifications
Aprilia Bikes,https://www.bikedekho.com/aprilia/rsv4/specifications
Aprilia Bikes,https://www.bikedekho.com/aprilia/storm-125/specifications
Aprilia Bikes,https://www.bikedekho.com/aprilia/tuono-v4/specifications
Aprilia Bikes,https://www.bikedekho.com/aprilia/sxr-125/specifications
Aprilia Bikes,https://www.bikedekho.com/aprilia/tuono-660/specifications
