Search Query,Bike Name,Price,Section Title,Section Data
Suzuki bike,Suzuki Access 125,"Rs.2,711",Engine and Transmission,"{'Engine Type': '4- Stroke, 1-Cylinder, Air Cooled', 'Displacement': '124 cc', 'Max Torque': '10 Nm @ 5500 rpm', 'No. of Cylinders': '1', 'Cooling System': 'Air Cooled', 'Valve Per Cylinder': '2', 'Starting': 'Kick and Self Start', 'Fuel Supply': 'Fuel Injection', 'Gear Box': 'CVT', 'Bore': '52.5 mm', 'Stroke': '57.4 mm', 'Emission Type': 'bs6-2.0'}"
Suzuki bike,Suzuki Access 125,"Rs.2,711",Features,"{'Instrument Console': 'Digital', 'Bluetooth Connectivity': 'Bluetooth', 'Navigation': 'Yes', 'Call/SMS Alerts': 'Yes', 'USB Charging Port': 'Yes', 'Speedometer': 'Digital', 'Tripmeter': 'Digital', 'Odometer': 'Digital', 'Central Locking': 'Yes', 'Additional Features Of Variant': 'Eco Drive Illumination, Front And Rack For Storage, One Push Central Lock System, Long Seat & Long FLoor Board, Vlotage Meter, E20Complant, ETA Update, Speed Exceeding Alert, Phone Battery Level Dsiplay, Missed call ALert & Caller ID', 'Seat Type': 'Single', 'Stepup Seat': 'With Long Seat', 'Passenger Footrest': 'Yes', 'Carry hook': 'Front & Rear', 'Underseat storage': '21.8 L'}"
Suzuki bike,Suzuki Access 125,"Rs.2,711",Features and Safety,"{'Speedometer': 'Digital', 'External Fuel Filling': 'Yes', 'Odometer': 'Digital', 'Tripmeter': 'Digital', 'Central Locking': 'Yes', 'Additional Features': 'Eco Drive Illumination, Front And Rack For Storage, One Push Central Lock System, Long Seat & Long FLoor Board, Vlotage Meter, E20Complant, ETA Update, Speed Exceeding Alert, Phone Battery Level Dsiplay, Missed call ALert & Caller ID', 'Carry Hook': 'Front & Rear', 'Stepup Seat': 'With Long Seat', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes'}"
Suzuki bike,Suzuki Access 125,"Rs.2,711",Mileage and Performance,{'Overall Mileage': '45 kmpl'}
Suzuki bike,Suzuki Access 125,"Rs.2,711",Dimensions and Capacity,"{'Width': '690 mm', 'Length': '1870 mm', 'Height': '1160 mm', 'Fuel Capacity': '5 L', 'Saddle Height': '773 mm', 'Ground Clearance': '160 mm', 'Wheelbase': '1265 mm', 'Kerb Weight': '103 kg', 'Additional Storage': '21.8 L'}"
Suzuki bike,Suzuki Access 125,"Rs.2,711",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'LED'}"
Suzuki bike,Suzuki Access 125,"Rs.2,711",Performance,{'Top Speed': '98 kmph'}
Suzuki bike,Suzuki Access 125,"Rs.2,711",Motor & Battery,"{'Peak Power': '8.7 PS @ 6750 rpm', 'Drive Type': 'Belt Drive', 'Battery Type': 'Lead Acid', 'Transmission': 'Automatic'}"
Suzuki bike,Suzuki Access 125,"Rs.2,711",Underpinnings,"{'Suspension Front': 'Telescopic', 'Suspension Rear': 'Swing Arm', 'Brakes Front': 'Disc', 'Brakes Rear': 'Drum', 'Tyre Size': 'Front :-90/90-12, Rear :-90/100-10', 'Wheel Size': 'Front :-304.8 mm,Rear :-254 mm', 'Wheels Type': 'Alloy', 'Tubeless Tyre': 'Tubeless'}"
Suzuki bike,Suzuki Access 125,"Rs.2,711",App Features,"{'Calls & Messaging': 'Yes', 'Navigation assist': 'Yes'}"
Suzuki bike,Suzuki Burgman Street,"Rs.3,145",Engine and Transmission,"{'Engine Type': '4-Stroke, 1 Cylinder, Air Cooled', 'Displacement': '124 cc', 'Max Torque': '10 Nm @ 5500 rpm', 'No. of Cylinders': '1', 'Cooling System': 'Air Cooled', 'Valve Per Cylinder': '2', 'Starting': 'Kick and Self Start', 'Fuel Supply': 'Fuel Injection', 'Gear Box': 'CVT', 'Bore': '52.5 mm', 'Stroke': '57.4 mm', 'Emission Type': 'bs6-2.0'}"
Suzuki bike,Suzuki Burgman Street,"Rs.3,145",Features,"{'Instrument Console': 'Digital', 'Bluetooth Connectivity': 'Bluetooth', 'Navigation': 'Yes', 'Call/SMS Alerts': 'Yes', 'USB Charging Port': 'Yes', 'Speedometer': 'Digital', 'Tripmeter': 'Digital', 'Odometer': 'Digital', 'Central Locking': 'Yes', 'Shutter Lock': 'Yes', 'Additional Features Of Variant': '2L Glove box, Side Stand Interlock, missed call Alert & Called, Phone Battery Level Display, Silent Starter System, E20 Compliant, Unique App Features - WhatsApp Notification, Short Distance Indicator Bar, ETA Updates, Engine Auto Stop - Start (EASS), Suzuki Eco Performance, Turn-by-Turn Navigation, Speed Exceeding Alert, Last Parked Location', 'Seat Type': 'Single', 'Clock': 'Yes', 'Stepup Seat': 'With Long Seat', 'Passenger Footrest': 'Yes', 'Carry hook': 'Yes', 'Underseat storage': '21.5 L'}"
Suzuki bike,Suzuki Burgman Street,"Rs.3,145",Features and Safety,"{'Braking Type': 'Combi Brake System', 'Shutter Lock': 'Yes', 'Speedometer': 'Digital', 'Odometer': 'Digital', 'Tripmeter': 'Digital', 'Fuel Gauge': 'Digital', 'Pass Switch': 'Yes', 'Clock': 'Yes', 'Central Locking': 'Yes', 'Adjustable Windscreen': 'Yes', 'Additional Features': '2L Glove box, Side Stand Interlock, missed call Alert & Called, Phone Battery Level Display, Silent Starter System, E20 Compliant, Unique App Features - WhatsApp Notification, Short Distance Indicator Bar, ETA Updates, Engine Auto Stop - Start (EASS), Suzuki Eco Performance, Turn-by-Turn Navigation, Speed Exceeding Alert, Last Parked Location', 'Carry Hook': 'Yes', 'Stepup Seat': 'With Long Seat', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes', 'Display': 'Yes'}"
Suzuki bike,Suzuki Burgman Street,"Rs.3,145",Mileage and Performance,{'Overall Mileage': '48 kmpl'}
Suzuki bike,Suzuki Burgman Street,"Rs.3,145",Dimensions and Capacity,"{'Width': '700 mm', 'Length': '1875 mm', 'Height': '1140 mm', 'Fuel Capacity': '5.5 L', 'Saddle Height': '780 mm', 'Ground Clearance': '160 mm', 'Wheelbase': '1290 mm', 'Kerb Weight': '111 kg', 'Additional Storage': '21.5 L'}"
Suzuki bike,Suzuki Burgman Street,"Rs.3,145",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'LED', 'LED Tail Lights': 'Yes'}"
Suzuki bike,Suzuki Burgman Street,"Rs.3,145",Motor & Battery,"{'Peak Power': '8.6 PS @ 6500 rpm', 'Drive Type': 'Belt Drive', 'Battery Type': 'Lead Acid', 'Transmission': 'Automatic'}"
Suzuki bike,Suzuki Burgman Street,"Rs.3,145",Charging,"{'Charging At Home': 'No', 'Charging At Charging Station': 'No'}"
Suzuki bike,Suzuki Burgman Street,"Rs.3,145",Underpinnings,"{'Suspension Front': 'Telescopic', 'Suspension Rear': 'Swing Arm', 'Brakes Front': 'Disc', 'Brakes Rear': 'Drum', 'Tyre Size': 'Front :-90/90-12, Rear :- 100/80-12', 'Wheel Size': 'Front :-304.8 mm,Rear :-304.8 mm', 'Wheels Type': 'Alloy', 'Tubeless Tyre': 'Tubeless'}"
Suzuki bike,Suzuki Burgman Street,"Rs.3,145",App Features,"{'Calls & Messaging': 'Yes', 'Navigation assist': 'Yes'}"
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Engine and Transmission,"{'Engine Type': '4-Stroke, Liquid-cooled, DOHC,in-line four', 'Displacement': '1340 cc', 'Max Torque': '150 Nm @ 7000 rpm', 'No. of Cylinders': '4', 'Cooling System': 'Liquid Cooled', 'Starting': 'Self Start Only', 'Fuel Supply': 'Fuel Injection', 'Ignition': 'Electronic Ignition (Transistorized)', 'Gear Box': '6 Speed Constant Mesh', 'Bore': '81 mm', 'Stroke': '65 mm', 'Compression Ratio': '12.5 : 1', 'Emission Type': 'bs6-2.0'}"
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Features,"{'Cruise Control': 'Yes', 'Speedometer': 'Analogue', 'Techometer': 'Analogue', 'Tripmeter': 'Digital', 'Odometer': 'Digital', 'Additional Features Of Variant': 'Suzuki Intelligent Ride System, Anti-lift Control system, Engine Brake Control system, Slope Dependent Control System, Active Speed Limiter, Motion Track Brake System, Hill Hold Control System, Lubrication System - Wet Sump', 'Seat Type': 'Single', 'Handle Type': 'Clip On', 'Body Graphics': 'Yes', 'Clock': 'Digital', 'Passenger Footrest': 'Yes'}"
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Features and Safety,"{'Speedometer': 'Analogue', 'Tachometer': 'Analogue', 'Odometer': 'Digital', 'Tripmeter': 'Digital', 'Pass Switch': 'Yes', 'Clock': 'Digital', 'Riding Modes': 'Yes', 'Traction Control': 'Yes', 'Power Modes': 'Yes', 'Launch Control': 'Yes', 'Quick Shifter': 'Yes', 'Additional Features': 'Suzuki Intelligent Ride System, Anti-lift Control system, Engine Brake Control system, Slope Dependent Control System, Active Speed Limiter, Motion Track Brake System, Hill Hold Control System, Lubrication System - Wet Sump', 'Passenger Footrest': 'Yes', 'Display': 'Yes'}"
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Mileage and Performance,{'Overall Mileage': '17 kmpl'}
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Chassis and Suspension,"{'Body Type': 'Super Bikes', 'Body Graphics': 'Yes'}"
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Dimensions and Capacity,"{'Width': '735 mm', 'Length': '2180 mm', 'Height': '1165 mm', 'Fuel Reserve': '20 L', 'Saddle Height': '800 mm', 'Ground Clearance': '125 mm', 'Wheelbase': '1480 mm', 'Kerb Weight': '266 kg'}"
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Electricals,"{'Headlight': 'LED', 'Tail Light': 'LED', 'Turn Signal Lamp': 'LED', 'Projector Headlights': 'Yes', 'LED Tail Lights': 'Yes', 'Low Oil Indicator': 'Yes', 'Low Fuel Indicator': 'Yes', 'Pilot Lamps': 'Yes'}"
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Motor & Battery,"{'Peak Power': '190 PS @ 9700 rpm', 'Drive Type': 'Chain Drive', 'Transmission': 'Manual'}"
Suzuki bike,Suzuki Hayabusa,"Rs.51,640",Underpinnings,"{'Suspension Front': 'Inverted Telescopic, Coil Spring, Oil Damped', 'Suspension Rear': 'Link Type, Coil Spring, Oil Damped', 'Brakes Front': 'Double Disc', 'Brakes Rear': 'Disc', 'ABS': 'Dual Channel', 'Tyre Size': 'Front :-120/70-ZR17, Rear :-190/50-ZR17', 'Wheel Size': 'Front :-431.8 mm,Rear :-431.8 mm', 'Wheels Type': 'Alloy', 'Tubeless Tyre': 'Tubeless'}"
