Bike Name,Price,Feature,Value,Section Title
Yezdi Roadster,2.06 - 2.13 Lakh,Engine Type,"Single cylinder, 4 Stroke, Liquid Cooled, DOHC",Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Displacement,334 cc,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Max Torque,29.40 Nm @ 6500 rpm,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,No. of Cylinders,1,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Cooling System,Liquid Cooled,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Valve Per Cylinder,4,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Starting,Self Start Only,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Fuel Supply,Fuel Injection,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Gear Box,6 Speed,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Bore,81 mm,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Stroke,65 mm,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Compression Ratio,11:01,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Emission Type,bs6-2.0,Engine and Transmission
Yezdi Roadster,2.06 - 2.13 Lakh,Instrument Console,Digital,Features
Yezdi Roadster,2.06 - 2.13 Lakh,Bluetooth Connectivity,Bluetooth,Features
Yezdi Roadster,2.06 - 2.13 Lakh,Navigation,Yes,Features
Yezdi Roadster,2.06 - 2.13 Lakh,USB Charging Port,Yes,Features
Yezdi Roadster,2.06 - 2.13 Lakh,Speedometer,Digital,Features
Yezdi Roadster,2.06 - 2.13 Lakh,Tripmeter,Digital,Features
Yezdi Roadster,2.06 - 2.13 Lakh,Odometer,Digital,Features
Yezdi Roadster,2.06 - 2.13 Lakh,Seat Type,Single,Features
Yezdi Roadster,2.06 - 2.13 Lakh,Passenger Footrest,Yes,Features
Yezdi Roadster,2.06 - 2.13 Lakh,Speedometer,Digital,Features and Safety
Yezdi Roadster,2.06 - 2.13 Lakh,Odometer,Digital,Features and Safety
Yezdi Roadster,2.06 - 2.13 Lakh,Tripmeter,Digital,Features and Safety
Yezdi Roadster,2.06 - 2.13 Lakh,Fuel Gauge,Digital,Features and Safety
Yezdi Roadster,2.06 - 2.13 Lakh,Pass Switch,Yes,Features and Safety
Yezdi Roadster,2.06 - 2.13 Lakh,Passenger Footrest,Yes,Features and Safety
Yezdi Roadster,2.06 - 2.13 Lakh,Display,LCD,Features and Safety
Yezdi Roadster,2.06 - 2.13 Lakh,City Mileage,28.53 kmpl,Mileage and Performance
Yezdi Roadster,2.06 - 2.13 Lakh,Highway Mileage,32.16 kmpl,Mileage and Performance
Yezdi Roadster,2.06 - 2.13 Lakh,Body Type,Cruiser Bikes,Chassis and Suspension
Yezdi Roadster,2.06 - 2.13 Lakh,Fuel Capacity,12.5 l,Dimensions and Capacity
Yezdi Roadster,2.06 - 2.13 Lakh,Saddle Height,790 mm,Dimensions and Capacity
Yezdi Roadster,2.06 - 2.13 Lakh,Ground Clearance,175 mm,Dimensions and Capacity
Yezdi Roadster,2.06 - 2.13 Lakh,Wheelbase,1440 mm,Dimensions and Capacity
Yezdi Roadster,2.06 - 2.13 Lakh,Kerb Weight,194 kg,Dimensions and Capacity
Yezdi Roadster,2.06 - 2.13 Lakh,Headlight,LED,Electricals
Yezdi Roadster,2.06 - 2.13 Lakh,Tail Light,LED,Electricals
Yezdi Roadster,2.06 - 2.13 Lakh,Turn Signal Lamp,LED,Electricals
Yezdi Roadster,2.06 - 2.13 Lakh,Low Battery Indicator,Yes,Electricals
Yezdi Roadster,2.06 - 2.13 Lakh,Front Brake Diameter,320 mm,Tyres and Brakes
Yezdi Roadster,2.06 - 2.13 Lakh,Rear Brake Diameter,240 mm,Tyres and Brakes
Yezdi Roadster,2.06 - 2.13 Lakh,Peak Power,29 PS @ 7300 rpm,Motor & Battery
Yezdi Roadster,2.06 - 2.13 Lakh,Drive Type,Chain Drive,Motor & Battery
Yezdi Roadster,2.06 - 2.13 Lakh,Transmission,Manual,Motor & Battery
Yezdi Roadster,2.06 - 2.13 Lakh,Charging At Home,No,Charging
Yezdi Roadster,2.06 - 2.13 Lakh,Charging At Charging Station,No,Charging
Yezdi Roadster,2.06 - 2.13 Lakh,Suspension Front,Telescopic Fork & Coil spring,Underpinnings
